"Pais","Region","fecha","idEmail","TotalRecipients","bounce","SuccessfulRecipients","uniqueOpens","OpenRate","uniqueClicks","consideracion","satisfaccion","anio","mes","dia","nombreDia","mesNombre"
"Islas_Caiman","Caribe",2016-09-21,"EAuL12136fZlL47",85,30,55,38,0.69,3,2,6,2016,9,21,"Miércoles","Septiembre"
"Curazao","Caribe",2015-08-30,"EAuL12027nQcC77",42,8,34,9,0.26,25,1,7,2015,8,30,"Domingo","Agosto"
"Curazao","Caribe",2015-07-29,"EAuL12006cIyY99",69,30,39,35,0.9,19,4,10,2015,7,29,"Miércoles","Julio"
"Rep_Dominicana","Caribe",2016-03-13,"EAuL12191tLwW94",14,4,10,6,0.6,19,5,8,2016,3,13,"Domingo","Marzo"
"San_Martín","Caribe",2016-07-16,"EAuL12016kZwW62",33,8,25,16,0.64,10,5,8,2016,7,16,"Sábado","Julio"
"Guadalupe","Caribe",2016-12-12,"EAuL12025zInN55",104,41,63,46,0.73,15,1,4,2016,12,12,"Lunes","Diciembre"
"Santa_Lucía","Caribe",2015-02-13,"EAuL11996fYjJ89",83,27,56,33,0.59,29,1,7,2015,2,13,"Viernes","Febrero"
"Guadalupe","Caribe",2015-03-03,"EAuL11946lOhH17",82,30,52,35,0.67,26,1,9,2015,3,3,"Martes","Marzo"
"Islas_Caiman","Caribe",2015-06-28,"EAuL11937rJxX75",80,24,56,31,0.55,19,4,8,2015,6,28,"Domingo","Junio"
"Guadalupe","Caribe",2015-10-13,"EAuL12095gDrR101",34,9,25,10,0.4,3,2,6,2015,10,13,"Martes","Octubre"
"San_Martín","Caribe",2015-07-01,"EAuL11990oBqQ81",84,27,57,33,0.58,30,4,3,2015,7,1,"Miércoles","Julio"
"Rep_Dominicana","Caribe",2015-11-12,"EAuL12114hAxX88",55,11,44,16,0.36,11,4,1,2015,11,12,"Jueves","Noviembre"
"San_Martín","Caribe",2016-12-22,"EAuL11926kIcC105",110,39,71,45,0.63,18,4,2,2016,12,22,"Jueves","Diciembre"
"Guadalupe","Caribe",2016-09-25,"EAuL11982eEtT44",37,9,28,10,0.36,9,5,1,2016,9,25,"Domingo","Septiembre"
"Jamaica","Caribe",2016-12-18,"EAuL12133eAjJ71",69,24,45,30,0.67,14,2,4,2016,12,18,"Domingo","Diciembre"
"Haiti","Caribe",2016-04-25,"EAuL11938aIrR37",54,18,36,24,0.67,14,2,6,2016,4,25,"Lunes","Abril"
"Guadalupe","Caribe",2016-01-28,"EAuL12115nTgG69",80,34,46,39,0.85,14,5,7,2016,1,28,"Jueves","Enero"
"Jamaica","Caribe",2016-07-21,"EAuL12094lQpP71",33,6,27,8,0.3,2,5,7,2016,7,21,"Jueves","Julio"
"Barbados","Caribe",2016-06-18,"EAuL12089cUjJ99",66,24,42,29,0.69,14,1,8,2016,6,18,"Sábado","Junio"
"Santa_Lucía","Caribe",2015-11-30,"EAuL11807nWzZ86",63,25,38,32,0.84,4,1,9,2015,11,30,"Lunes","Noviembre"
"Trinidad_y_Tobago","Caribe",2016-05-01,"EAuL12001pOlL64",70,30,40,35,0.88,1,4,8,2016,5,1,"Domingo","Mayo"
"San_Martín","Caribe",2016-10-06,"EAuL11898jUnN36",41,7,34,12,0.35,21,3,5,2016,10,6,"Jueves","Octubre"
"Barbados","Caribe",2015-09-08,"EAuL12039bVzZ15",92,32,60,37,0.62,24,1,4,2015,9,8,"Martes","Septiembre"
"Rep_Dominicana","Caribe",2015-05-27,"EAuL12008xEgG71",74,21,53,27,0.51,16,5,10,2015,5,27,"Miércoles","Mayo"
"San_Martín","Caribe",2016-02-12,"EAuL12074qIfF16",84,25,59,30,0.51,20,2,3,2016,2,12,"Viernes","Febrero"
"Haiti","Caribe",2016-05-08,"EAuL12118vPaA89",35,9,26,10,0.38,30,5,2,2016,5,8,"Domingo","Mayo"
"Rep_Dominicana","Caribe",2015-09-26,"EAuL12083rDcC53",45,7,38,13,0.34,3,4,3,2015,9,26,"Sábado","Septiembre"
"Curazao","Caribe",2015-07-30,"EAuL12118iXrR65",47,18,29,23,0.79,29,2,6,2015,7,30,"Jueves","Julio"
"Jamaica","Caribe",2016-07-26,"EAuL11901aCpP43",100,42,58,48,0.83,15,2,8,2016,7,26,"Martes","Julio"
"San_Martín","Caribe",2016-04-22,"EAuL11979dBuU63",81,37,44,43,0.98,1,3,2,2016,4,22,"Viernes","Abril"
"Trinidad_y_Tobago","Caribe",2016-02-04,"EAuL11866nDsS57",92,32,60,38,0.63,7,3,1,2016,2,4,"Jueves","Febrero"
"Jamaica","Caribe",2016-04-26,"EAuL12084iAsS94",78,35,43,42,0.98,5,3,4,2016,4,26,"Martes","Abril"
"Curazao","Caribe",2016-04-27,"EAuL11934jImM1010",45,12,33,18,0.55,9,3,2,2016,4,27,"Miércoles","Abril"
"Trinidad_y_Tobago","Caribe",2015-10-11,"EAuL12115hGlL29",99,42,57,47,0.82,17,1,2,2015,10,11,"Domingo","Octubre"
"San_Martín","Caribe",2015-04-18,"EAuL11955wIpP12",51,11,40,17,0.42,21,1,7,2015,4,18,"Sábado","Abril"
"Rep_Dominicana","Caribe",2016-02-19,"EAuL12083pNnN46",35,13,22,20,0.91,30,4,5,2016,2,19,"Viernes","Febrero"
"Rep_Dominicana","Caribe",2015-07-10,"EAuL11906nIjJ101",60,11,49,19,0.39,26,4,1,2015,7,10,"Viernes","Julio"
"San_Martín","Caribe",2016-03-07,"EAuL12000wWkK75",41,5,36,13,0.36,16,3,3,2016,3,7,"Lunes","Marzo"
"Guadalupe","Caribe",2015-02-27,"EAuL11855oEqQ13",35,13,22,20,0.91,11,2,8,2015,2,27,"Viernes","Febrero"
"Curazao","Caribe",2016-11-12,"EAuL11957nAzZ99",104,42,62,48,0.77,19,4,7,2016,11,12,"Sábado","Noviembre"
"Trinidad_y_Tobago","Caribe",2016-06-06,"EAuL12022kImM52",27,8,19,13,0.68,13,4,10,2016,6,6,"Lunes","Junio"
"Curazao","Caribe",2016-09-20,"EAuL12054lXzZ13",30,4,26,5,0.19,12,1,2,2016,9,20,"Martes","Septiembre"
"Barbados","Caribe",2015-10-15,"EAuL11977lYfF59",118,42,76,47,0.62,4,1,4,2015,10,15,"Jueves","Octubre"
"Haiti","Caribe",2015-04-30,"EAuL11998zSxX98",37,13,24,18,0.75,29,4,5,2015,4,30,"Jueves","Abril"
"Trinidad_y_Tobago","Caribe",2015-12-03,"EAuL11895pIdD17",79,33,46,40,0.87,12,4,2,2015,12,3,"Jueves","Diciembre"
"Curazao","Caribe",2016-07-01,"EAuL12211nDxX94",28,7,21,14,0.67,7,5,8,2016,7,1,"Viernes","Julio"
"San_Martín","Caribe",2015-11-22,"EAuL12072lFaA51",30,5,25,6,0.24,7,4,4,2015,11,22,"Domingo","Noviembre"
"Islas_Caiman","Caribe",2015-04-25,"EAuL12032rGoO51",95,39,56,44,0.79,30,1,10,2015,4,25,"Sábado","Abril"
"Trinidad_y_Tobago","Caribe",2016-10-21,"EAuL12170sRtT22",70,25,45,33,0.73,28,2,3,2016,10,21,"Viernes","Octubre"
"Curazao","Caribe",2016-02-23,"EAuL12099xRfF62",26,8,18,16,0.89,19,1,8,2016,2,23,"Martes","Febrero"
"Rep_Dominicana","Caribe",2016-02-23,"EAuL11963lGxX110",79,24,55,30,0.55,29,5,3,2016,2,23,"Martes","Febrero"
"Curazao","Caribe",2016-10-05,"EAuL11910oBpP44",64,26,38,34,0.89,2,1,6,2016,10,5,"Miércoles","Octubre"
"Rep_Dominicana","Caribe",2016-06-22,"EAuL11999uQwW31",43,16,27,22,0.81,22,4,2,2016,6,22,"Miércoles","Junio"
"Barbados","Caribe",2015-12-19,"EAuL12012sVoO99",52,9,43,15,0.35,7,4,2,2015,12,19,"Sábado","Diciembre"
"Islas_Caiman","Caribe",2015-10-12,"EAuL11935bOhH101",88,40,48,47,0.98,24,5,2,2015,10,12,"Lunes","Octubre"
"Jamaica","Caribe",2015-01-19,"EAuL11998jTsS23",57,19,38,24,0.63,25,5,8,2015,1,19,"Lunes","Enero"
"Barbados","Caribe",2016-06-17,"EAuL12023sNoO86",62,20,42,26,0.62,5,1,8,2016,6,17,"Viernes","Junio"
"Rep_Dominicana","Caribe",2015-10-02,"EAuL11951mSjJ42",54,18,36,25,0.69,5,2,7,2015,10,2,"Viernes","Octubre"
"San_Martín","Caribe",2016-03-20,"EAuL11894nCfF96",33,10,23,16,0.7,7,2,3,2016,3,20,"Domingo","Marzo"
"Haiti","Caribe",2015-10-23,"EAuL12031xBdD75",86,32,54,37,0.69,9,1,2,2015,10,23,"Viernes","Octubre"
"Santa_Lucía","Caribe",2015-11-27,"EAuL11952eInN55",48,17,31,23,0.74,19,3,10,2015,11,27,"Viernes","Noviembre"
"Islas_Caiman","Caribe",2015-12-22,"EAuL12031iWoO75",46,19,27,26,0.96,4,4,9,2015,12,22,"Martes","Diciembre"
"Guadalupe","Caribe",2016-06-20,"EAuL11934nQxX75",38,6,32,8,0.25,6,5,8,2016,6,20,"Lunes","Junio"
"Barbados","Caribe",2016-04-04,"EAuL12141wJbB108",95,39,56,44,0.79,28,3,3,2016,4,4,"Lunes","Abril"
"Islas_Caiman","Caribe",2016-05-02,"EAuL12066bOsS51",49,12,37,18,0.49,23,5,9,2016,5,2,"Lunes","Mayo"
"Barbados","Caribe",2015-04-29,"EAuL12200rZkK55",82,24,58,31,0.53,18,1,7,2015,4,29,"Miércoles","Abril"
"Santa_Lucía","Caribe",2015-01-24,"EAuL11914tFhH62",91,39,52,45,0.87,27,4,1,2015,1,24,"Sábado","Enero"
"Rep_Dominicana","Caribe",2016-02-26,"EAuL12053tPlL38",118,43,75,49,0.65,10,2,4,2016,2,26,"Viernes","Febrero"
"Haiti","Caribe",2015-11-11,"EAuL12039uUzZ93",74,20,54,27,0.5,22,3,3,2015,11,11,"Miércoles","Noviembre"
"Trinidad_y_Tobago","Caribe",2016-12-12,"EAuL12193qBiI72",61,13,48,19,0.4,10,1,4,2016,12,12,"Lunes","Diciembre"
"Rep_Dominicana","Caribe",2015-01-25,"EAuL12060aRuU95",53,19,34,26,0.76,29,5,7,2015,1,25,"Domingo","Enero"
"Haiti","Caribe",2016-04-17,"EAuL12014tRrR28",55,13,42,20,0.48,2,1,8,2016,4,17,"Domingo","Abril"
"Jamaica","Caribe",2015-02-04,"EAuL12238bYqQ57",65,23,42,30,0.71,21,4,2,2015,2,4,"Miércoles","Febrero"
"Barbados","Caribe",2016-04-02,"EAuL12019jGxX17",59,26,33,31,0.94,20,2,4,2016,4,2,"Sábado","Abril"
"Rep_Dominicana","Caribe",2016-07-25,"EAuL12025yJfF78",108,40,68,45,0.66,21,2,5,2016,7,25,"Lunes","Julio"
"Jamaica","Caribe",2016-11-04,"EAuL11906cIbB86",75,29,46,37,0.8,1,2,6,2016,11,4,"Viernes","Noviembre"
"San_Martín","Caribe",2015-01-01,"EAuL11870mQaA71",16,6,10,7,0.7,17,1,9,2015,1,1,"Jueves","Enero"
"Guadalupe","Caribe",2016-12-26,"EAuL12216aRkK107",77,27,50,35,0.7,15,5,5,2016,12,26,"Lunes","Diciembre"
"Guadalupe","Caribe",2015-01-23,"EAuL11865sOvV52",31,8,23,9,0.39,1,5,5,2015,1,23,"Viernes","Enero"
"Trinidad_y_Tobago","Caribe",2015-01-05,"EAuL11926fNxX710",53,22,31,29,0.94,29,5,2,2015,1,5,"Lunes","Enero"
"San_Martín","Caribe",2016-07-07,"EAuL12194oGfF55",72,31,41,36,0.88,17,1,2,2016,7,7,"Jueves","Julio"
"Islas_Caiman","Caribe",2015-10-11,"EAuL12002rSeE79",35,13,22,21,0.95,4,1,10,2015,10,11,"Domingo","Octubre"
"Curazao","Caribe",2015-12-15,"EAuL11847gHyY18",37,3,34,5,0.15,13,5,4,2015,12,15,"Martes","Diciembre"
"Guadalupe","Caribe",2016-11-12,"EAuL12023fSbB11",38,6,32,8,0.25,18,1,8,2016,11,12,"Sábado","Noviembre"
"Santa_Lucía","Caribe",2015-08-12,"EAuL11903wWzZ53",35,13,22,21,0.95,15,3,2,2015,8,12,"Miércoles","Agosto"
"Barbados","Caribe",2016-07-23,"EAuL11886kEbB74",72,23,49,29,0.59,14,1,8,2016,7,23,"Sábado","Julio"
"Jamaica","Caribe",2015-07-31,"EAuL12142oRtT36",84,27,57,33,0.58,20,5,5,2015,7,31,"Viernes","Julio"
"Islas_Caiman","Caribe",2015-06-07,"EAuL11895kPdD39",59,22,37,30,0.81,24,2,2,2015,6,7,"Domingo","Junio"
"Trinidad_y_Tobago","Caribe",2015-12-04,"EAuL12165dTrR61",73,22,51,29,0.57,13,1,3,2015,12,4,"Viernes","Diciembre"
"Guadalupe","Caribe",2015-03-12,"EAuL11913aKpP510",58,24,34,31,0.91,12,2,10,2015,3,12,"Jueves","Marzo"
"Rep_Dominicana","Caribe",2016-11-14,"EAuL12027gQuU49",40,8,32,15,0.47,2,4,7,2016,11,14,"Lunes","Noviembre"
"Islas_Caiman","Caribe",2015-07-26,"EAuL12003fQqQ17",119,43,76,49,0.64,20,1,9,2015,7,26,"Domingo","Julio"
"Guadalupe","Caribe",2016-10-20,"EAuL12143jMjJ65",16,7,9,8,0.89,5,1,1,2016,10,20,"Jueves","Octubre"
"Guadalupe","Caribe",2015-10-29,"EAuL11846lTyY31",60,15,45,22,0.49,23,3,2,2015,10,29,"Jueves","Octubre"
"Guadalupe","Caribe",2016-01-07,"EAuL12117xEkK89",99,31,68,39,0.57,12,2,6,2016,1,7,"Jueves","Enero"
"Rep_Dominicana","Caribe",2016-07-02,"EAuL11931jJsS86",27,7,20,9,0.45,26,4,8,2016,7,2,"Sábado","Julio"
"Jamaica","Caribe",2016-01-26,"EAuL12011tSrR95",43,6,37,12,0.32,3,2,5,2016,1,26,"Martes","Enero"
"Curazao","Caribe",2015-08-24,"EAuL11897rMkK24",38,12,26,20,0.77,12,2,10,2015,8,24,"Lunes","Agosto"
"Jamaica","Caribe",2015-11-28,"EAuL11784oEkK58",34,6,28,7,0.25,19,2,3,2015,11,28,"Sábado","Noviembre"
"Curazao","Caribe",2016-08-03,"EAuL11851qSjJ56",79,29,50,37,0.74,15,4,2,2016,8,3,"Miércoles","Agosto"
"Jamaica","Caribe",2016-01-01,"EAuL11991xYvV43",48,13,35,18,0.51,15,5,1,2016,1,1,"Viernes","Enero"
"Santa_Lucía","Caribe",2015-06-08,"EAuL11893eJpP44",86,36,50,41,0.82,27,3,5,2015,6,8,"Lunes","Junio"
"Islas_Caiman","Caribe",2015-12-27,"EAuL12055rOmM68",110,39,71,47,0.66,10,5,7,2015,12,27,"Domingo","Diciembre"
"Guadalupe","Caribe",2015-11-10,"EAuL11831hXnN73",27,3,24,5,0.21,26,5,1,2015,11,10,"Martes","Noviembre"
"Barbados","Caribe",2015-09-14,"EAuL12045wWfF63",44,8,36,10,0.28,20,1,4,2015,9,14,"Lunes","Septiembre"
"Islas_Caiman","Caribe",2015-11-07,"EAuL11997jDvV38",90,29,61,36,0.59,20,1,3,2015,11,7,"Sábado","Noviembre"
"Rep_Dominicana","Caribe",2016-12-20,"EAuL11934rGrR48",55,13,42,20,0.48,15,4,3,2016,12,20,"Martes","Diciembre"
"Islas_Caiman","Caribe",2016-05-19,"EAuL12023iUrR85",65,24,41,31,0.76,22,2,9,2016,5,19,"Jueves","Mayo"
"Trinidad_y_Tobago","Caribe",2016-01-16,"EAuL11853aGoO102",68,23,45,29,0.64,23,1,2,2016,1,16,"Sábado","Enero"
"San_Martín","Caribe",2015-01-27,"EAuL11869oRvV19",68,21,47,29,0.62,15,3,7,2015,1,27,"Martes","Enero"
"Curazao","Caribe",2015-01-25,"EAuL11841mMoO11",64,20,44,26,0.59,14,1,2,2015,1,25,"Domingo","Enero"
"Haiti","Caribe",2015-05-20,"EAuL12052bFbB310",53,12,41,18,0.44,25,3,6,2015,5,20,"Miércoles","Mayo"
"Santa_Lucía","Caribe",2015-03-14,"EAuL11999gQhH1010",56,20,36,28,0.78,11,3,2,2015,3,14,"Sábado","Marzo"
"Haiti","Caribe",2016-04-15,"EAuL12323qQdD61",62,22,40,27,0.68,9,5,1,2016,4,15,"Viernes","Abril"
"Haiti","Caribe",2015-05-05,"EAuL12037rBmM36",47,19,28,25,0.89,1,3,2,2015,5,5,"Martes","Mayo"
"Santa_Lucía","Caribe",2016-07-16,"EAuL11917pYjJ710",56,20,36,27,0.75,19,5,5,2016,7,16,"Sábado","Julio"
"Jamaica","Caribe",2016-07-12,"EAuL12147oHyY64",71,32,39,37,0.95,22,4,10,2016,7,12,"Martes","Julio"
"Rep_Dominicana","Caribe",2016-09-26,"EAuL12119yUpP62",65,16,49,22,0.45,28,5,10,2016,9,26,"Lunes","Septiembre"
"Curazao","Caribe",2015-09-10,"EAuL12062qQkK55",75,19,56,26,0.46,12,1,8,2015,9,10,"Jueves","Septiembre"
"Santa_Lucía","Caribe",2016-07-26,"EAuL12089xSoO71",54,22,32,28,0.88,3,5,1,2016,7,26,"Martes","Julio"
"Barbados","Caribe",2015-10-26,"EAuL11819dHhH88",110,37,73,44,0.6,13,3,2,2015,10,26,"Lunes","Octubre"
"San_Martín","Caribe",2015-10-19,"EAuL12063oKjJ23",53,19,34,24,0.71,7,1,3,2015,10,19,"Lunes","Octubre"
"Santa_Lucía","Caribe",2016-09-05,"EAuL12029wIeE99",40,9,31,10,0.32,1,3,2,2016,9,5,"Lunes","Septiembre"
"Santa_Lucía","Caribe",2015-06-25,"EAuL12145kRcC107",93,37,56,42,0.75,30,5,3,2015,6,25,"Jueves","Junio"
"Barbados","Caribe",2015-08-03,"EAuL11802wDmM710",108,39,69,44,0.64,17,3,7,2015,8,3,"Lunes","Agosto"
"Rep_Dominicana","Caribe",2015-08-26,"EAuL12142fOoO310",33,11,22,18,0.82,5,2,9,2015,8,26,"Miércoles","Agosto"
"Islas_Caiman","Caribe",2016-02-15,"EAuL11987mJsS91",39,6,33,13,0.39,29,2,7,2016,2,15,"Lunes","Febrero"
"Barbados","Caribe",2015-09-01,"EAuL11853jBwW58",44,13,31,21,0.68,22,2,3,2015,9,1,"Martes","Septiembre"
"Islas_Caiman","Caribe",2015-03-15,"EAuL11882jEvV44",47,9,38,16,0.42,5,5,10,2015,3,15,"Domingo","Marzo"
"Trinidad_y_Tobago","Caribe",2016-02-25,"EAuL12141pInN78",92,41,51,49,0.96,4,3,10,2016,2,25,"Jueves","Febrero"
"San_Martín","Caribe",2016-11-06,"EAuL11861bRgG108",90,40,50,47,0.94,1,2,5,2016,11,6,"Domingo","Noviembre"
"Rep_Dominicana","Caribe",2015-02-20,"EAuL11766qUjJ33",67,24,43,30,0.7,27,3,9,2015,2,20,"Viernes","Febrero"
"Barbados","Caribe",2015-03-30,"EAuL11847fOtT89",79,31,48,39,0.81,20,1,10,2015,3,30,"Lunes","Marzo"
"Trinidad_y_Tobago","Caribe",2016-04-28,"EAuL12137rMdD26",60,15,45,21,0.47,30,5,3,2016,4,28,"Jueves","Abril"
"Barbados","Caribe",2015-06-17,"EAuL12129nZiI16",44,8,36,14,0.39,2,5,7,2015,6,17,"Miércoles","Junio"
"Curazao","Caribe",2015-06-23,"EAuL12065qQlL34",24,7,17,9,0.53,16,1,6,2015,6,23,"Martes","Junio"
"Curazao","Caribe",2015-09-02,"EAuL12101uIpP102",53,10,43,15,0.35,29,1,9,2015,9,2,"Miércoles","Septiembre"
"Islas_Caiman","Caribe",2015-10-12,"EAuL12067nXaA43",89,31,58,38,0.66,6,2,6,2015,10,12,"Lunes","Octubre"
"Guadalupe","Caribe",2015-04-21,"EAuL11963kAzZ105",55,14,41,19,0.46,14,3,1,2015,4,21,"Martes","Abril"
"Curazao","Caribe",2016-01-21,"EAuL12135fErR36",108,36,72,42,0.58,24,3,5,2016,1,21,"Jueves","Enero"
"Barbados","Caribe",2015-11-09,"EAuL12097sGvV33",75,26,49,34,0.69,11,4,8,2015,11,9,"Lunes","Noviembre"
"Santa_Lucía","Caribe",2016-08-06,"EAuL11981fUtT28",39,13,26,20,0.77,9,5,8,2016,8,6,"Sábado","Agosto"
"Trinidad_y_Tobago","Caribe",2016-12-04,"EAuL12315cCbB82",43,7,36,9,0.25,17,2,4,2016,12,4,"Domingo","Diciembre"
"Trinidad_y_Tobago","Caribe",2015-03-29,"EAuL11932iQqQ64",107,37,70,42,0.6,14,5,9,2015,3,29,"Domingo","Marzo"
"Guadalupe","Caribe",2015-01-06,"EAuL11996oLgG42",45,13,32,21,0.66,22,3,4,2015,1,6,"Martes","Enero"
"Barbados","Caribe",2016-04-26,"EAuL11892dHjJ72",20,8,12,9,0.75,10,1,4,2016,4,26,"Martes","Abril"
"Barbados","Caribe",2016-02-18,"EAuL11944dVqQ68",58,14,44,22,0.5,11,3,6,2016,2,18,"Jueves","Febrero"
"Curazao","Caribe",2016-04-23,"EAuL11948qClL14",87,33,54,40,0.74,21,4,2,2016,4,23,"Sábado","Abril"
"San_Martín","Caribe",2015-03-07,"EAuL11803cZaA39",88,34,54,41,0.76,12,2,4,2015,3,7,"Sábado","Marzo"
"Curazao","Caribe",2015-09-09,"EAuL12045vMzZ67",74,23,51,31,0.61,15,3,2,2015,9,9,"Miércoles","Septiembre"
"Santa_Lucía","Caribe",2016-03-02,"EAuL11938hVgG72",25,8,17,13,0.76,30,1,2,2016,3,2,"Miércoles","Marzo"
"Trinidad_y_Tobago","Caribe",2015-07-18,"EAuL11994hJwW17",57,20,37,26,0.7,16,1,9,2015,7,18,"Sábado","Julio"
"Haiti","Caribe",2015-12-15,"EAuL12090pGuU910",100,33,67,40,0.6,25,4,8,2015,12,15,"Martes","Diciembre"
"Islas_Caiman","Caribe",2015-09-27,"EAuL12113xNlL106",76,29,47,35,0.74,8,1,10,2015,9,27,"Domingo","Septiembre"
"Rep_Dominicana","Caribe",2016-07-08,"EAuL11859eDlL62",36,10,26,16,0.62,19,3,8,2016,7,8,"Viernes","Julio"
"San_Martín","Caribe",2015-09-23,"EAuL11776mWzZ75",82,34,48,39,0.81,7,5,4,2015,9,23,"Miércoles","Septiembre"
"Haiti","Caribe",2015-08-23,"EAuL12060tUoO410",52,12,40,18,0.45,2,5,6,2015,8,23,"Domingo","Agosto"
"Trinidad_y_Tobago","Caribe",2016-06-25,"EAuL12031tSaA66",102,36,66,42,0.64,19,5,10,2016,6,25,"Sábado","Junio"
"San_Martín","Caribe",2016-06-24,"EAuL12202jEvV103",34,7,27,13,0.48,13,5,1,2016,6,24,"Viernes","Junio"
"Trinidad_y_Tobago","Caribe",2016-10-07,"EAuL12095gIpP76",111,42,69,47,0.68,14,2,3,2016,10,7,"Viernes","Octubre"
"San_Martín","Caribe",2015-09-29,"EAuL12013aIlL39",78,21,57,27,0.47,24,4,5,2015,9,29,"Martes","Septiembre"
"San_Martín","Caribe",2015-02-15,"EAuL11977rVbB29",52,21,31,28,0.9,10,2,1,2015,2,15,"Domingo","Febrero"
"Guadalupe","Caribe",2016-07-09,"EAuL11936tMkK28",75,34,41,40,0.98,29,3,9,2016,7,9,"Sábado","Julio"
"Guadalupe","Caribe",2016-03-16,"EAuL11971jBvV910",40,9,31,10,0.32,30,1,10,2016,3,16,"Miércoles","Marzo"
"Islas_Caiman","Caribe",2016-04-04,"EAuL12009rInN55",98,38,60,46,0.77,11,1,2,2016,4,4,"Lunes","Abril"
"Curazao","Caribe",2015-05-02,"EAuL11867bLdD71",27,7,20,12,0.6,18,1,6,2015,5,2,"Sábado","Mayo"
"Rep_Dominicana","Caribe",2016-02-24,"EAuL12026nDmM57",25,8,17,9,0.53,28,1,2,2016,2,24,"Miércoles","Febrero"
"Barbados","Caribe",2016-06-03,"EAuL12072sTuU88",57,16,41,22,0.54,2,5,7,2016,6,3,"Viernes","Junio"
"Guadalupe","Caribe",2015-05-31,"EAuL11911lJzZ25",46,13,33,18,0.55,22,2,3,2015,5,31,"Domingo","Mayo"
"Haiti","Caribe",2016-09-22,"EAuL11973gWnN75",111,43,68,48,0.71,22,2,2,2016,9,22,"Jueves","Septiembre"
"Rep_Dominicana","Caribe",2016-12-17,"EAuL12025sLxX19",91,35,56,43,0.77,24,3,8,2016,12,17,"Sábado","Diciembre"
"Guadalupe","Caribe",2016-07-21,"EAuL11896hOxX34",83,32,51,39,0.76,10,3,6,2016,7,21,"Jueves","Julio"
"Rep_Dominicana","Caribe",2016-09-12,"EAuL11826uHnN810",91,37,54,44,0.81,6,2,3,2016,9,12,"Lunes","Septiembre"
"Barbados","Caribe",2015-05-25,"EAuL11844hBqQ54",72,27,45,34,0.76,7,3,9,2015,5,25,"Lunes","Mayo"
"Jamaica","Caribe",2016-04-03,"EAuL12141sMgG36",23,6,17,7,0.41,22,5,10,2016,4,3,"Domingo","Abril"
"San_Martín","Caribe",2015-05-17,"EAuL11893dSnN44",100,35,65,43,0.66,16,3,3,2015,5,17,"Domingo","Mayo"
"Jamaica","Caribe",2016-11-08,"EAuL11983dUbB94",47,11,36,16,0.44,22,5,9,2016,11,8,"Martes","Noviembre"
"Jamaica","Caribe",2015-11-24,"EAuL11920yNnN57",81,29,52,35,0.67,10,3,4,2015,11,24,"Martes","Noviembre"
"Rep_Dominicana","Caribe",2015-05-13,"EAuL11922uRvV17",99,43,56,49,0.88,3,2,1,2015,5,13,"Miércoles","Mayo"
"Islas_Caiman","Caribe",2015-03-29,"EAuL11949iVcC35",36,9,27,17,0.63,9,3,2,2015,3,29,"Domingo","Marzo"
"Trinidad_y_Tobago","Caribe",2015-10-05,"EAuL12076iGtT23",72,26,46,34,0.74,30,4,10,2015,10,5,"Lunes","Octubre"
"Guadalupe","Caribe",2016-10-19,"EAuL11880cFsS21",99,32,67,39,0.58,6,5,1,2016,10,19,"Miércoles","Octubre"
"Trinidad_y_Tobago","Caribe",2016-09-30,"EAuL11893nHmM36",65,28,37,33,0.89,29,2,10,2016,9,30,"Viernes","Septiembre"
"Barbados","Caribe",2016-05-15,"EAuL11922qTgG710",80,27,53,33,0.62,12,4,6,2016,5,15,"Domingo","Mayo"
"Curazao","Caribe",2015-01-01,"EAuL12140gYcC41",26,7,19,9,0.47,10,3,2,2015,1,1,"Jueves","Enero"
"Trinidad_y_Tobago","Caribe",2016-12-05,"EAuL12138yUrR106",98,37,61,45,0.74,2,4,4,2016,12,5,"Lunes","Diciembre"
"Haiti","Caribe",2015-06-14,"EAuL11759mKsS72",51,17,34,25,0.74,21,1,5,2015,6,14,"Domingo","Junio"
"Santa_Lucía","Caribe",2015-04-25,"EAuL11991yWiI85",112,44,68,49,0.72,22,1,1,2015,4,25,"Sábado","Abril"
"Jamaica","Caribe",2015-11-21,"EAuL12180kUtT310",17,6,11,7,0.64,1,1,1,2015,11,21,"Sábado","Noviembre"
"Barbados","Caribe",2016-07-03,"EAuL11816dBoO29",61,17,44,25,0.57,9,4,9,2016,7,3,"Domingo","Julio"
"San_Martín","Caribe",2015-10-03,"EAuL12109rHnN78",50,17,33,23,0.7,26,4,1,2015,10,3,"Sábado","Octubre"
"Guadalupe","Caribe",2015-08-19,"EAuL12102vPtT55",71,26,45,32,0.71,14,2,7,2015,8,19,"Miércoles","Agosto"
"Curazao","Caribe",2016-02-06,"EAuL11932cWgG39",90,31,59,36,0.61,26,1,2,2016,2,6,"Sábado","Febrero"
"Jamaica","Caribe",2016-09-07,"EAuL12207lGtT36",92,39,53,44,0.83,18,3,6,2016,9,7,"Miércoles","Septiembre"
"Jamaica","Caribe",2016-07-14,"EAuL12072sYmM1010",86,29,57,35,0.61,9,1,4,2016,7,14,"Jueves","Julio"
"Barbados","Caribe",2016-07-13,"EAuL12189nOiI81",113,39,74,47,0.64,9,4,3,2016,7,13,"Miércoles","Julio"
"Santa_Lucía","Caribe",2015-10-17,"EAuL12128sUpP77",57,11,46,16,0.35,3,2,8,2015,10,17,"Sábado","Octubre"
